field,type,required,description,example
restaurant_id,string,yes,Internal stable id generated by your system,rest_osm_node_123456
external_source,enum,yes,Original discovery source,openstreetmap
osm_type,enum,yes,OSM element type: node/way/relation,node
osm_id,string,yes,OSM element id,123456789
canonical_name,string,yes,Primary display name,Bún Chả Example
name_vi,string,no,Vietnamese name if available,Bún Chả Example
name_en,string,no,English name if available,Example Bun Cha
amenity,enum,yes,OSM amenity tag,restaurant
cuisine_raw,string,no,"Raw OSM cuisine tag, semicolon separated",vietnamese;noodle
cuisine_normalized,string,no,Your normalized cuisine tags,"vietnamese,noodle"
brand,string,no,OSM brand tag,
operator,string,no,OSM operator tag,
full_address,string,no,Composed address from addr:* tags,"12 Hang Gai, Hoan Kiem, Hanoi"
street,string,no,OSM addr:street,Hang Gai
housenumber,string,no,OSM addr:housenumber,12
ward,string,no,Ward/neighbourhood if available or inferred,Hang Bac
district,string,yes,Pilot district/area bucket,Hoàn Kiếm
city,string,yes,City,Hà Nội
country,string,yes,Country,Vietnam
lat,decimal,yes,Latitude,21.028511
lon,decimal,yes,Longitude,105.852345
phone,string,no,Phone/contact tag,+84...
website,url,no,Official website tag,https://example.com
website_menu,url,no,OSM website:menu tag if available,https://example.com/menu.pdf
opening_hours,string,no,OSM opening_hours tag,Mo-Su 08:00-22:00
takeaway,enum,no,yes/no/only from OSM,yes
delivery,enum,no,yes/no from OSM,yes
diet_vegetarian,enum,no,OSM diet:vegetarian value,yes
diet_vegan,enum,no,OSM diet:vegan value,limited
diet_halal,enum,no,OSM diet:halal value if present,yes
diet_kosher,enum,no,OSM diet:kosher value if present,
outdoor_seating,enum,no,OSM outdoor_seating tag,yes
wheelchair,enum,no,OSM wheelchair tag,limited
source_url,url,yes,OSM object URL,https://www.openstreetmap.org/node/123456
source_observed_at,date,yes,Date you fetched/observed source,2026-07-08
data_license,string,yes,Source data license,ODbL-1.0
attribution_required,boolean,yes,Whether display/export requires attribution,true
discovery_confidence,decimal,yes,Confidence this is a usable food place,0.85
menu_status,enum,yes,not_observed / menu_url_available / observed_not_verified / restaurant_submitted / admin_verified,not_observed
verification_status,enum,yes,unverified / restaurant_contacted / restaurant_confirmed / admin_verified / expired / flagged,unverified
review_status,enum,yes,needs_review / approved / rejected,needs_review
raw_tags_json,json,no,Original OSM tags for audit/debug,"{""amenity"":""restaurant""}"
notes,text,no,Internal review notes,
