restaurant_id,external_source,osm_type,osm_id,canonical_name,name_vi,name_en,amenity,cuisine_raw,cuisine_normalized,brand,operator,full_address,street,housenumber,ward,district,city,country,lat,lon,phone,website,website_menu,opening_hours,takeaway,delivery,diet_vegetarian,diet_vegan,diet_halal,diet_kosher,outdoor_seating,wheelchair,source_url,source_observed_at,data_license,attribution_required,discovery_confidence,menu_status,verification_status,review_status,raw_tags_json,notes
rest_osm_node_11609629180,openstreetmap,node,11609629180,80+ coffee roastery,80+ coffee roastery,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0304393,105.8364660,,,,,,,,,,,,,https://www.openstreetmap.org/node/11609629180,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""80+ coffee roastery""}",
rest_osm_node_11521920518,openstreetmap,node,11521920518,AHA Cafe,AHA Cafe,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0347916,105.8111925,,,,,,,,,,,,,https://www.openstreetmap.org/node/11521920518,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""AHA Cafe""}",
rest_osm_node_12651070191,openstreetmap,node,12651070191,Adrenaline,Adrenaline,,cafe,coffee_shop,coffee_shop,,,Ngõ 9 Liễu Giai,Ngõ 9 Liễu Giai,,,Ba Đình,Hà Nội,Vietnam,21.0349496,105.8148326,,,,,,,,,,,,,https://www.openstreetmap.org/node/12651070191,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:street"": ""Ngõ 9 Liễu Giai"", ""amenity"": ""cafe"", ""contact:facebook"": ""https://www.facebook.com/AdrenalineFlavorHub"", ""cuisine"": ""coffee_shop"", ""name"": ""Adrenaline"", ""training"": ""cooking""}",
rest_osm_node_10718073305,openstreetmap,node,10718073305,Ardor,Ardor,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0286277,105.8371766,,,,,,,,,,,,,https://www.openstreetmap.org/node/10718073305,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""internet_access"": ""wlan"", ""name"": ""Ardor""}",
rest_osm_node_11885987569,openstreetmap,node,11885987569,COC Roastery,COC Roastery,,cafe,bubble_tea;coffee_shop;tea,"bubble_tea,coffee_shop,tea",,,47 Phố An Dương,Phố An Dương,47,,Ba Đình,Hà Nội,Vietnam,21.0527410,105.8403861,0899307555,,,Mo-Su 07:00-23:00,,,,,,,,,https://www.openstreetmap.org/node/11885987569,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:housenumber"": ""47"", ""addr:street"": ""Phố An Dương"", ""amenity"": ""cafe"", ""contact:facebook"": ""COCCAPHE.EST2018"", ""cuisine"": ""bubble_tea;coffee_shop;tea"", ""email"": ""corolabfnb@gmail.com"", ""internet_access"": ""wlan"", ""name"": ""COC Roastery"", ""opening_hours"": ""Mo-Su 07:00-23:00"", ""phone"": ""0899307555""}",
rest_osm_node_9805222050,openstreetmap,node,9805222050,Cafe Xí nghiệp 2,Cafe Xí nghiệp 2,,cafe,,,,,"Số 23, Ngõ 210 Đội Cấn, Ba Đình","Số 23, Ngõ 210 Đội Cấn",,,Ba Đình,Hà Nội,Vietnam,21.0345494,105.8210095,,,,Mo-Su 07:00-23:00,,,,,,,,,https://www.openstreetmap.org/node/9805222050,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:district"": ""Ba Đình"", ""addr:street"": ""Số 23, Ngõ 210 Đội Cấn"", ""air_conditioning"": ""yes"", ""amenity"": ""cafe"", ""contact:facebook"": ""https://www.facebook.com/cafexinghiep2/"", ""lgbtq"": ""welcome"", ""name"": ""Cafe Xí nghiệp 2"", ""opening_hours"": ""Mo-Su 07:00-23:00"", ""payment:credit_cards"": ""yes"", ""smoking"": ""yes""}",
rest_osm_node_13342409262,openstreetmap,node,13342409262,Camy Café,Camy Café,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0441553,105.8174197,,,,,,,,,,,yes,,https://www.openstreetmap.org/node/13342409262,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""internet_access"": ""wlan"", ""internet_access:fee"": ""no"", ""name"": ""Camy Café"", ""outdoor_seating"": ""yes""}",
rest_osm_node_12679316801,openstreetmap,node,12679316801,Cang Tin Minh Nu,Cang Tin Minh Nu,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0381311,105.8310864,,,,,,,,,,,,,https://www.openstreetmap.org/node/12679316801,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cang Tin Minh Nu""}",
rest_osm_node_12252622818,openstreetmap,node,12252622818,Chilling - Coffee & Toast,Chilling - Coffee & Toast,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0380741,105.8122488,,,,,,,,,,,,,https://www.openstreetmap.org/node/12252622818,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""food"": ""no"", ""name"": ""Chilling - Coffee & Toast""}",
rest_osm_node_7540706332,openstreetmap,node,7540706332,Cà Phê 74,Cà Phê 74,,cafe,,,,,74 Đường Hoàng Hoa Thám,Đường Hoàng Hoa Thám,74,,Ba Đình,Hà Nội,Vietnam,21.0410023,105.8241615,,,,,,,,,,,,,https://www.openstreetmap.org/node/7540706332,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:housenumber"": ""74"", ""addr:street"": ""Đường Hoàng Hoa Thám"", ""amenity"": ""cafe"", ""name"": ""Cà Phê 74""}",
rest_osm_node_7540706334,openstreetmap,node,7540706334,Cà Phê 82,Cà Phê 82,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0410536,105.8240207,,,,,,,,,,,,,https://www.openstreetmap.org/node/7540706334,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê 82""}",
rest_osm_node_4266207190,openstreetmap,node,4266207190,Cà Phê Bigone,Cà Phê Bigone,,cafe,vietnamese,vietnamese,,,281 Đội Cấn,Đội Cấn,281,,Ba Đình,Hà Nội,VN,21.0354013,105.8196451,0986007015,https://m.me/bigone.com.vn,,Mo-Su 07:00-23:00,,,,,,,,,https://www.openstreetmap.org/node/4266207190,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:country"": ""VN"", ""addr:housenumber"": ""281"", ""addr:street"": ""Đội Cấn"", ""amenity"": ""cafe"", ""cuisine"": ""vietnamese"", ""email"": ""Bigsun1612@gmail.com"", ""internet_access"": ""wlan"", ""name"": ""Cà Phê Bigone"", ""opening_hours"": ""Mo-Su 07:00-23:00"", ""phone"": ""0986007015"", ""website"": ""https://m.me/bigone.com.vn""}",
rest_osm_node_7176886994,openstreetmap,node,7176886994,Cà Phê Connect,Cà Phê Connect,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0295931,105.8385729,,,,,,,,,,,,,https://www.openstreetmap.org/node/7176886994,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Connect""}",
rest_osm_node_7106090086,openstreetmap,node,7106090086,Cà Phê Cá Chép,Cà Phê Cá Chép,Cafe & bookstore,cafe,coffee_shop,coffee_shop,,,115 Phố Nguyễn Thái Học,Phố Nguyễn Thái Học,115,,Ba Đình,Hà Nội,Vietnam,21.0299333,105.8373109,,,,,,,,,,,,,https://www.openstreetmap.org/node/7106090086,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:housenumber"": ""115"", ""addr:street"": ""Phố Nguyễn Thái Học"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""Cà Phê Cá Chép"", ""name:en"": ""Cafe & bookstore""}",
rest_osm_node_422416741,openstreetmap,node,422416741,Cà Phê Cây Bàng Đổ,Cà Phê Cây Bàng Đổ,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0273274,105.8220368,,,,,,,,,,,,,https://www.openstreetmap.org/node/422416741,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Cây Bàng Đổ""}",
rest_osm_node_6742138876,openstreetmap,node,6742138876,Cà Phê Cô Hàng Xóm,Cà Phê Cô Hàng Xóm,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0452944,105.8409351,,,,,,,,,,,,,https://www.openstreetmap.org/node/6742138876,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Cô Hàng Xóm""}",
rest_osm_node_7085692622,openstreetmap,node,7085692622,Cà Phê Dilmah,Cà Phê Dilmah,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0335744,105.8384870,,,,,,,,,,,,,https://www.openstreetmap.org/node/7085692622,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Dilmah""}",
rest_osm_node_4381937591,openstreetmap,node,4381937591,Cà Phê Duy Trí,Cà Phê Duy Trí,,cafe,coffee_shop,coffee_shop,,,43A Yên Phụ,Yên Phụ,43A,,Ba Đình,Hà Nội,Vietnam,21.0514592,105.8387858,,,,,,,,,,,,,https://www.openstreetmap.org/node/4381937591,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:housenumber"": ""43A"", ""addr:street"": ""Yên Phụ"", ""amenity"": ""cafe"", ""cuisine"": ""coffee_shop"", ""name"": ""Cà Phê Duy Trí""}",
rest_osm_node_4234157989,openstreetmap,node,4234157989,Cà Phê Gardenista,Cà Phê Gardenista,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0309402,105.8171637,,,,,,,,,,,,,https://www.openstreetmap.org/node/4234157989,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Gardenista""}",
rest_osm_node_5233487022,openstreetmap,node,5233487022,Cà Phê Helio,Cà Phê Helio,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0303997,105.8372464,,,,,,,,,,,,,https://www.openstreetmap.org/node/5233487022,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Helio""}",
rest_osm_node_8285594817,openstreetmap,node,8285594817,Cà Phê Lovegan Kitchen,Cà Phê Lovegan Kitchen,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0387639,105.8280932,,,,,,,yes,yes,,,,,https://www.openstreetmap.org/node/8285594817,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""diet:vegan"": ""yes"", ""diet:vegetarian"": ""yes"", ""name"": ""Cà Phê Lovegan Kitchen""}",
rest_osm_node_6919278357,openstreetmap,node,6919278357,Cà Phê Ma Xo,Cà Phê Ma Xo,,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0455368,105.8401930,,,,,,,,,,,,,https://www.openstreetmap.org/node/6919278357,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""name"": ""Cà Phê Ma Xo""}",
rest_osm_node_7117106185,openstreetmap,node,7117106185,Cà Phê Rang Xay CLAB,Cà Phê Rang Xay CLAB,,cafe,,,,,Ngoc Khành,Ngoc Khành,,,Ba Đình,Hà Nội,Vietnam,21.0289118,105.8079182,+84936464903,,,Mo-Su 07:00-09:00,,,,,,,,,https://www.openstreetmap.org/node/7117106185,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:street"": ""Ngoc Khành"", ""amenity"": ""cafe"", ""name"": ""Cà Phê Rang Xay CLAB"", ""opening_hours"": ""Mo-Su 07:00-09:00"", ""phone"": ""+84936464903""}",
rest_osm_node_1497544853,openstreetmap,node,1497544853,Cà Phê Trang,Cà Phê Trang,,cafe,,,,,47 Phố Văn Miếu,Phố Văn Miếu,47,,Ba Đình,Hà Nội,VN,21.0279560,105.8363073,,,,,,,,,,,,,https://www.openstreetmap.org/node/1497544853,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""addr:country"": ""VN"", ""addr:housenumber"": ""47"", ""addr:street"": ""Phố Văn Miếu"", ""amenity"": ""cafe"", ""name"": ""Cà Phê Trang""}",
rest_osm_node_6224180286,openstreetmap,node,6224180286,Cà Phê Văn Miêu,Cà Phê Văn Miêu,Juice bar,cafe,,,,,,,,,Ba Đình,Hà Nội,Vietnam,21.0271045,105.8357536,,,,24/7,,,,,,,,,https://www.openstreetmap.org/node/6224180286,2026-07-08,ODbL-1.0,true,0.75,not_observed,unverified,needs_review,"{""amenity"": ""cafe"", ""internet_access"": ""wlan"", ""name"": ""Cà Phê Văn Miêu"", ""name:en"": ""Juice bar"", ""opening_hours"": ""24/7""}",
